hallucination, cumulative_confidences, P_T_given_I_Q_Full, entropy_sum, cumulative_confidences2, P_T_given_I_Q_Full2, entropy_sum2 
False, [3.2858041612623897e-08], 3.2858041612623897e-08, 5.644560859464155e-07,[0.00425077472568879], 0.00425077472568879, 0.023212009565993875
False, [1.7459336553454485e-07], 1.7459336553454485e-07, 2.715257442933378e-06,[0.011987644347710703], 0.011987644347710703, 0.05303188521733363
False, [1.3072656726617493e-08], 1.3072656726617493e-08, 2.3548930437562665e-07,[0.0019821732839328996], 0.0019821732839328996, 0.012336176551458036
True, [2.4644877604512456e-07], 2.4644877604512456e-07, 3.748470486107117e-06,None, None, None
False, [1.954634497874632e-08], 1.954634497874632e-08, 3.4518190950035275e-07,[1.1542090127275292e-07], 1.1542090127275292e-07, 1.8422145388571547e-06
False, [2.4900788978041023e-08], 2.4900788978041023e-08, 4.3422129914977674e-07,[8.65547899936953e-08], 8.65547899936953e-08, 1.4059700032468458e-06
False, [2.5045617127514208e-08], 2.5045617127514208e-08, 4.366123348735549e-07,[6.06437238381002e-06], 6.06437238381002e-06, 7.285058627194952e-05
False, [1.5244662413035784e-08], 1.5244662413035784e-08, 2.7258933005099576e-07,[0.00031649715488234756], 0.00031649715488234756, 0.0025503953984285376
False, [1.3188281569650905e-08], 1.3188281569650905e-08, 2.3747295835204217e-07,[2.376298284722249e-05], 2.376298284722249e-05, 0.00025301247994231185
False, [2.8319030667742112e-08], 2.8319030667742112e-08, 4.904391845637132e-07,[0.17780797193513645], 0.17780797193513645, 0.30708345696981376
True, [2.207702464457054e-08], 2.207702464457054e-08, 3.874269980164877e-07,[1.2224898693264356e-06], 1.2224898693264356e-06, 1.6642374665913014e-05
True, [2.5239256010220406e-08], 2.5239256010220406e-08, 4.3980789704581174e-07,[1.195806772705308e-06], 1.195806772705308e-06, 1.6305481964654815e-05
True, [6.613842184949846e-07], 6.613842184949846e-07, 9.409367448533337e-06,None, None, None
False, [1.6980980169275953e-08], 1.6980980169275953e-08, 3.020205186027259e-07,[0.08408974866138229], 0.08408974866138229, 0.2081953374073066
True, [1.8523541803258526e-08], 1.8523541803258526e-08, 3.2801685378850246e-07,[1.2522340977400548e-06], 1.2522340977400548e-06, 1.7017230283562967e-05
False, [1.3169127113851672e-08], 1.3169127113851672e-08, 2.3714441630487643e-07,[0.0008571050547754232], 0.0008571050547754232, 0.006052832388983033
False, [1.1619606601950721e-08], 1.1619606601950721e-08, 2.104698011569861e-07,[0.011248737673623659], 0.011248737673623659, 0.05047870270087395
False, [1.4692777652922006e-08], 1.4692777652922006e-08, 2.6319402118806306e-07,[0.0013105637462569237], 0.0013105637462569237, 0.008698601328841107
False, [2.53919694077036e-08], 2.53919694077036e-08, 4.423270261258983e-07,[1.4178485354593949e-06], 1.4178485354593949e-06, 1.909192627623064e-05
True, [1.3015039534164107e-07], 1.3015039534164107e-07, 2.0618937685625154e-06,[5.69286227039609e-07], 5.69286227039609e-07, 8.184261875851777e-06
True, [1.7563099410974822e-08], 1.7563099410974822e-08, 3.118466997997189e-07,[1.35520538257222e-06], 1.35520538257222e-06, 1.8309584351102093e-05
False, [1.577037521965631e-08], 1.577037521965631e-08, 2.8152036938667346e-07,[1.759088518465671e-08], 1.759088518465671e-08, 3.123152336408656e-07
